Identifiant station;Nom de la Station;Nom de la ligne;Niveau de pollution aux particules;Niveau de pollution;Incertitude;Recommandation de surveillance;Action(s) QAI en cours;Lien vers les mesures en direct;Durée des mesures;stop_lon;stop_lat;point_geo;pollution_air;niveau;actions;niveau_pollution
IDFM:490917;Aéroport d'Orly;Métro 14;pas de données;pas de données;Évaluation : impossible faute d’informations;non;;;;2.3621434233506027;48.727910744980996;48.72791074498099, 2.3621434233506027;pas de données;Pas de données;;pas de données
IDFM:21994;Arts et Métiers;Métro 3;pollution faible;FAIBLE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.3567233472754983;48.86553459885931;48.86553459885931, 2.3567233472754983;pollution faible - incertitude forte;Pollution faible;;pollution faible
IDFM:monomodalStopPlace:46395;Athis-Mons;RER C;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;2.403668724287269;48.71266832171659;48.71266832171659, 2.403668724287269;station aérienne;Station aérienne;;station aérienne
IDFM:monomodalStopPlace:43071;Aulnay-sous-Bois;RER B;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;2.495597257086315;48.932150935734064;48.932150935734064, 2.495597257086315;station aérienne;Station aérienne;;station aérienne
IDFM:monomodalStopPlace:45447;Avenue Henri Martin;RER C;pollution faible;FAIBLE;Évaluation : campagne de mesure ponctuelle;non;;;campagne de mesure ponctuelle;2.2722351438875577;48.865455372979774;48.86545537297977, 2.2722351438875577;pollution faible - incertitude faible;Pollution faible;;pollution faible
IDFM:22124;Avron;Métro 2;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;Action(s) d'amélioration de la qualité de l'air en cours;;;2.3981875566593973;48.85164854359716;48.85164854359716, 2.3981875566593973;pollution moyenne - incertitude forte;Pollution moyenne;Action(s) d'amélioration de la qualité de l'air en cours;pollution moyenne
IDFM:monomodalStopPlace:43087;Ballancourt;RER D;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;2.3700930488013845;48.53101531216478;48.53101531216478, 2.3700930488013845;station aérienne;Station aérienne;;station aérienne
IDFM:22130;Barbès - Rochechouart;Métro 4;pollution faible;FAIBLE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.3496299278530017;48.88340206048623;48.883402060486226, 2.349629927853002;pollution faible - incertitude forte;Pollution faible;;pollution faible
IDFM:463005;Bir-Hakeim;Métro 6;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;2.2894007376346;48.853925368375975;48.85392536837598, 2.2894007376345997;station aérienne;Station aérienne;;station aérienne
IDFM:463114;Boissière;Métro 6;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.2900328376074373;48.8668483434173;48.8668483434173, 2.2900328376074373;pollution moyenne - incertitude forte;Pollution moyenne;;pollution moyenne
IDFM:463134;Botzaris;Métro 7B;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.388900951315739;48.879534991268365;48.879534991268365, 2.388900951315739;pollution moyenne - incertitude forte;Pollution moyenne;;pollution moyenne
IDFM:22188;Boucicaut;Métro 8;pollution faible;FAIBLE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.2879184311245595;48.84102416099322;48.841024160993214, 2.2879184311245595;pollution faible - incertitude forte;Pollution faible;;pollution faible
IDFM:463137;Boulogne Jean Jaurès;Métro 10;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.239077780728926;48.8419915753245;48.841991575324506, 2.239077780728926;pollution moyenne - incertitude forte;Pollution moyenne;;pollution moyenne
IDFM:22033;Bourse;Métro 3;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.340678546975881;48.86879284393317;48.868792843933164, 2.3406785469758815;pollution moyenne - incertitude forte;Pollution moyenne;;pollution moyenne
IDFM:monomodalStopPlace:47924;Boussy-Saint-Antoine;RER D;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;2.533195809235637;48.68087387117553;48.68087387117553, 2.533195809235637;station aérienne;Station aérienne;;station aérienne
IDFM:22231;Brochant;Métro 13;pollution faible;FAIBLE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.3201902468999456;48.890622015548885;48.89062201554889, 2.3201902468999456;pollution faible - incertitude forte;Pollution faible;;pollution faible
IDFM:monomodalStopPlace:43101;Bry-sur-Marne;RER A;station aérienne;station aérienne;;non;Action(s) d'amélioration de la qualité de l'air en cours;https://www.airparif.fr/;;2.525670945020106;48.845137476280854;48.845137476280854, 2.525670945020106;station aérienne;Station aérienne;Action(s) d'amélioration de la qualité de l'air en cours;station aérienne
IDFM:463141;Cardinal Lemoine;Métro 10;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.3513280016731763;48.84670003526311;48.84670003526311, 2.3513280016731763;pollution moyenne - incertitude forte;Pollution moyenne;;pollution moyenne
IDFM:462976;Carrefour Pleyel;Métro 13;pollution faible;FAIBLE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.343534674183465;48.919732608049756;48.919732608049756, 2.3435346741834655;pollution faible - incertitude forte;Pollution faible;;pollution faible
IDFM:22391;Censier - Daubenton;Métro 7;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.351626572605499;48.84022624851393;48.84022624851393, 2.351626572605499;pollution moyenne - incertitude forte;Pollution moyenne;;pollution moyenne
IDFM:monomodalStopPlace:42516;Cesson;RER D;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;2.5946150549367304;48.56486314053174;48.56486314053174, 2.5946150549367304;station aérienne;Station aérienne;;station aérienne
IDFM:22095;Charles de Gaulle - Etoile;Métro 6;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.294995735441831;48.87383861478572;48.87383861478572, 2.294995735441831;pollution moyenne - incertitude forte;Pollution moyenne;;pollution moyenne
IDFM:21986;Charles Michels;Métro 10;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.2856243417995747;48.84636172348247;48.84636172348247, 2.2856243417995747;pollution moyenne - incertitude forte;Pollution moyenne;;pollution moyenne
IDFM:463149;Château de Vincennes;Métro 1;pollution faible;FAIBLE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.440540095406114;48.844317514313545;48.84431751431355, 2.440540095406114;pollution faible - incertitude forte;Pollution faible;;pollution faible
