station1;station2;connected;ligne
Argentine;Bastille;True;Métro 1
Bastille;Bérault;True;Métro 1
Bérault;Champs-Elysées - Clemenceau;True;Métro 1
Champs-Elysées - Clemenceau;Charles de Gaulle - Etoile;True;Métro 1
Charles de Gaulle - Etoile;Château de Vincennes;True;Métro 1
Château de Vincennes;Châtelet;True;Métro 1
Châtelet;Concorde;True;Métro 1
Concorde;Esplanade de la Défense;True;Métro 1
Esplanade de la Défense;Franklin D. Roosevelt;True;Métro 1
Franklin D. Roosevelt;Gare de Lyon;True;Métro 1
Gare de Lyon;George V;True;Métro 1
George V;Hôtel de Ville;True;Métro 1
Hôtel de Ville;La Défense (Grande Arche);True;Métro 1
La Défense (Grande Arche);Les Sablons;True;Métro 1
Les Sablons;Louvre - Rivoli;True;Métro 1
Louvre - Rivoli;Nation;True;Métro 1
Nation;Palais Royal - Musée du Louvre;True;Métro 1
Palais Royal - Musée du Louvre;Pont de Neuilly;True;Métro 1
Pont de Neuilly;Porte Maillot;True;Métro 1
Porte Maillot;Porte de Vincennes;True;Métro 1
Porte de Vincennes;Reuilly - Diderot;True;Métro 1
Reuilly - Diderot;Saint-Mandé;True;Métro 1
Saint-Mandé;Saint-Paul (Le Marais);True;Métro 1
Saint-Paul (Le Marais);Tuileries;True;Métro 1
Alexandre Dumas;Anvers;True;Métro 2
Anvers;Avron;True;Métro 2
Avron;Barbès - Rochechouart;True;Métro 2
Barbès - Rochechouart;Belleville;True;Métro 2
Belleville;Blanche;True;Métro 2
Blanche;Charles de Gaulle - Etoile;True;Métro 2
Charles de Gaulle - Etoile;Colonel Fabien;True;Métro 2
Colonel Fabien;Courcelles;True;Métro 2
Courcelles;Couronnes;True;Métro 2
Couronnes;Jaurès;True;Métro 2
Jaurès;La Chapelle;True;Métro 2
La Chapelle;Monceau;True;Métro 2
Monceau;Ménilmontant;True;Métro 2
Ménilmontant;Nation;True;Métro 2
Nation;Philippe Auguste;True;Métro 2
Philippe Auguste;Pigalle;True;Métro 2
Pigalle;Place de Clichy;True;Métro 2
Place de Clichy;Porte Dauphine;True;Métro 2
Porte Dauphine;Père Lachaise;True;Métro 2
Père Lachaise;Rome;True;Métro 2
Rome;Stalingrad;True;Métro 2
Stalingrad;Ternes;True;Métro 2
Ternes;Victor Hugo;True;Métro 2
Victor Hugo;Villiers;True;Métro 2
Anatole France;Arts et Métiers;True;Métro 3
Arts et Métiers;Bourse;True;Métro 3
Bourse;Europe;True;Métro 3
Europe;Gallieni;True;Métro 3
Gallieni;Gambetta;True;Métro 3
Havre-Caumartin;Louise Michel;True;Métro 3
Louise Michel;Malesherbes;True;Métro 3
Malesherbes;Opéra;True;Métro 3
Opéra;Parmentier;True;Métro 3
Pereire;Pont de Levallois - Bécon;True;Métro 3
Pont de Levallois - Bécon;Porte de Bagnolet;True;Métro 3
Porte de Bagnolet;Porte de Champerret;True;Métro 3
Père Lachaise;Quatre Septembre;True;Métro 3
Quatre Septembre;Rue Saint-Maur;True;Métro 3
Rue Saint-Maur;Réaumur - Sébastopol;True;Métro 3
Réaumur - Sébastopol;République;True;Métro 3
Saint-Lazare;Sentier;True;Métro 3
Sentier;Temple;True;Métro 3
Temple;Villiers;True;Métro 3
Villiers;Wagram;True;Métro 3
Alésia;Bagneux - Lucie Aubrac;True;Métro 4
Bagneux - Lucie Aubrac;Barbara;True;Métro 4
Barbara;Barbès - Rochechouart;True;Métro 4
Barbès - Rochechouart;Château Rouge;True;Métro 4
Château Rouge;Château d'Eau;True;Métro 4
Château d'Eau;Châtelet;True;Métro 4
Châtelet;Cité;True;Métro 4
