From Type;From Name;Edge Type;To Type;To Name;Weight;Label
Station;Argentine;Métro 1;Station;Bastille;1;Métro 1
Station;Bastille;Métro 1;Station;Bérault;1;Métro 1
Station;Bérault;Métro 1;Station;Champs-Elysées - Clemenceau;1;Métro 1
Station;Champs-Elysées - Clemenceau;Métro 1;Station;Charles de Gaulle - Etoile;1;Métro 1
Station;Charles de Gaulle - Etoile;Métro 1;Station;Château de Vincennes;1;Métro 1
Station;Château de Vincennes;Métro 1;Station;Châtelet;1;Métro 1
Station;Châtelet;Métro 1;Station;Concorde;1;Métro 1
Station;Concorde;Métro 1;Station;Esplanade de la Défense;1;Métro 1
Station;Esplanade de la Défense;Métro 1;Station;Franklin D. Roosevelt;1;Métro 1
Station;Franklin D. Roosevelt;Métro 1;Station;Gare de Lyon;1;Métro 1
Station;Gare de Lyon;Métro 1;Station;George V;1;Métro 1
Station;George V;Métro 1;Station;Hôtel de Ville;1;Métro 1
Station;Hôtel de Ville;Métro 1;Station;La Défense (Grande Arche);1;Métro 1
Station;La Défense (Grande Arche);Métro 1;Station;Les Sablons;1;Métro 1
Station;Les Sablons;Métro 1;Station;Louvre - Rivoli;1;Métro 1
Station;Louvre - Rivoli;Métro 1;Station;Nation;1;Métro 1
Station;Nation;Métro 1;Station;Palais Royal - Musée du Louvre;1;Métro 1
Station;Palais Royal - Musée du Louvre;Métro 1;Station;Pont de Neuilly;1;Métro 1
Station;Pont de Neuilly;Métro 1;Station;Porte Maillot;1;Métro 1
Station;Porte Maillot;Métro 1;Station;Porte de Vincennes;1;Métro 1
Station;Porte de Vincennes;Métro 1;Station;Reuilly - Diderot;1;Métro 1
Station;Reuilly - Diderot;Métro 1;Station;Saint-Mandé;1;Métro 1
Station;Saint-Mandé;Métro 1;Station;Saint-Paul (Le Marais);1;Métro 1
Station;Saint-Paul (Le Marais);Métro 1;Station;Tuileries;1;Métro 1
Station;Alexandre Dumas;Métro 2;Station;Anvers;1;Métro 2
Station;Anvers;Métro 2;Station;Avron;1;Métro 2
